Date,Open,High,Low,Close,Adj Close,Volume
4/25/2006,131.039993,131.119995,129.919998,130.369995,100.027855,84359800
4/26/2006,130.5,131.139999,130.300003,130.399994,100.050781,67262400
4/27/2006,129.899994,131.630005,129.589996,131.029999,100.534225,124478600
4/28/2006,130.789993,131.75,130.710007,131.470001,100.87178,55854400
5/1/2006,131.470001,131.800003,130.320007,130.399994,100.050781,64990300
5/2/2006,131.009995,131.460007,130.740005,131.380005,100.802742,49063500
5/3/2006,131.149994,131.320007,130.449997,130.889999,100.426788,60821300
5/4/2006,131.080002,131.619995,130.970001,131.360001,100.787384,42921400
5/5/2006,132.050003,132.800003,131.850006,132.520004,101.677406,62588200
5/8/2006,132.509995,132.770004,132.360001,132.360001,101.554665,30016700
5/9/2006,132.419998,132.770004,132.309998,132.619995,101.754143,29864000
5/10/2006,132.410004,132.75,131.889999,132.550003,101.700394,64378200
5/11/2006,132.509995,132.550003,130.520004,130.949997,100.472824,80626900
5/12/2006,130.360001,130.720001,129.190002,129.240005,99.160828,91726500
5/15/2006,128.789993,129.740005,128.610001,129.5,99.360291,84029300
5/16/2006,129.759995,130,129.009995,129.309998,99.214523,62137600
5/17/2006,128.669998,129.100006,126.769997,126.849998,97.327072,144789500
5/18/2006,127.349998,127.75,126.110001,126.209999,96.835991,87906300
5/19/2006,126.870003,127.489998,125.800003,127.099998,97.518852,124309400
5/22/2006,126.279999,127.169998,125.5,126.129997,96.774612,110852800
5/23/2006,127.18,127.629997,125.169998,125.169998,96.038048,92006500
5/24/2006,125.68,126.889999,124.760002,126.169998,96.805313,168405000
5/25/2006,126.919998,127.730003,126.43,127.730003,98.002228,78977900
5/26/2006,128.009995,128.380005,127.510002,128.380005,98.500969,62989700
5/30/2006,127.970001,128,126.050003,126.099998,96.751617,72419900
5/31/2006,126.620003,127.510002,126.199997,127.510002,97.833435,86926200
6/1/2006,127.379997,128.940002,127.269997,128.729996,98.769508,73721700
6/2/2006,129.25,129.429993,128.320007,129,98.976685,91702600
6/5/2006,128.850006,128.860001,126.769997,127.120003,97.53421,86105100
6/6/2006,127.209999,127.379997,125.760002,126.809998,97.296356,130498600
6/7/2006,126.910004,127.650002,125.790001,125.860001,96.567467,108599400
6/8/2006,125.580002,126.5,123.870003,125.75,96.483055,204957200
6/9/2006,126.360001,126.959999,125.290001,125.349998,96.17617,94972200
6/12/2006,125.879997,125.93,123.82,123.989998,95.132706,95815900
6/13/2006,123.739998,124.839996,122.550003,122.550003,94.02784,185688800
6/14/2006,122.839996,123.629997,122.339996,123.5,94.756752,163566400
6/15/2006,123.949997,126.360001,123.860001,126.120003,96.766953,134057000
6/16/2006,125.290001,125.559998,124.459999,124.650002,96.061806,94253500
6/19/2006,125.400002,125.480003,123.550003,123.669998,95.306549,95804400
6/20/2006,124.010002,124.809998,123.720001,124.089996,95.630226,65494700
6/21/2006,124,125.699997,123.959999,125.010002,96.339233,75008200
6/22/2006,124.949997,125.059998,124.040001,124.459999,95.91539,74566100
6/23/2006,124.330002,125.300003,124.029999,124.440002,95.899963,54107000
6/26/2006,124.540001,125.059998,124.25,124.989998,96.323822,37899600
6/27/2006,125.010002,125.290001,123.769997,123.910004,95.491501,69780200
6/28/2006,124.190002,124.769997,123.650002,124.75,96.138847,62368100
6/29/2006,125.199997,127.349998,125.169998,127.269997,98.080925,110634800
6/30/2006,127.540001,127.660004,126.959999,127.279999,98.088608,54227800
7/3/2006,127.43,128.009995,127.309998,127.800003,98.489342,23914000
7/5/2006,127.290001,127.449997,126.519997,127.07,97.926796,69653400
7/6/2006,127.199997,127.849998,127.080002,127.440002,98.211906,50100300
7/7/2006,127.190002,127.559998,126.290001,126.610001,97.572289,81626500
7/10/2006,126.940002,127.43,126.410004,126.849998,97.757217,60964100
7/11/2006,126.610001,127.410004,125.940002,127.410004,98.188835,73640800
7/12/2006,127.150002,127.400002,125.720001,126.050003,97.140732,82561300
7/13/2006,125.449997,125.68,124,124,95.560867,102405700
7/14/2006,124.129997,124.260002,122.830002,123.519997,95.190979,103242500
7/17/2006,123.519997,124.099998,123.150002,123.339996,95.052261,81159000
7/18/2006,123.709999,124.050003,122.389999,123.970001,95.537773,122771000
7/19/2006,124.18,126.260002,123.720001,125.690002,96.863297,133565300
7/20/2006,126.120003,126.300003,124.660004,124.830002,96.2005,112259800
7/21/2006,125.150002,125.190002,123.82,123.949997,95.522339,101560000
7/24/2006,124.440002,126.32,124.440002,126.209999,97.264023,92884000
7/25/2006,125.980003,127.300003,125.720001,126.660004,97.610832,95480700
7/26/2006,126.589996,127.449997,126.18,126.830002,97.741814,84525800
7/27/2006,127.379997,127.690002,126.199997,126.709999,97.649361,87257100
7/28/2006,127.040001,128.139999,126.860001,127.980003,98.628059,82137000
7/31/2006,127.660004,127.959999,127.449997,127.849998,98.527878,49593100
8/1/2006,127.339996,127.379997,126.599998,127.220001,98.042366,65225600
8/2/2006,127.580002,128.460007,127.550003,128.080002,98.705147,64770900
8/3/2006,127.339996,128.550003,127.150002,128.419998,98.967155,63693800
8/4/2006,129.080002,129.429993,127.480003,128.199997,98.79763,96294200
8/7/2006,127.900002,128.080002,127.400002,127.900002,98.566414,45377300
8/8/2006,128.089996,128.460007,126.949997,127.410004,98.188835,90901300
8/9/2006,128.179993,128.600006,126.610001,126.980003,97.85743,78910600
8/10/2006,126.580002,127.5,126.279999,127.370003,98.157967,69322300
8/11/2006,127.169998,127.199997,126.389999,127.010002,97.880539,47482200
8/14/2006,127.629997,128.160004,126.919998,127.110001,97.957603,57839000
8/15/2006,128.25,128.869995,127.900002,128.630005,99.129005,68143000
8/16/2006,129.320007,129.889999,129.039993,129.699997,99.95359,71737600
8/17/2006,129.580002,130.369995,129.490005,130.029999,100.207909,70992800
8/18/2006,130.190002,130.690002,129.589996,130.690002,100.716553,58288400
8/21/2006,130.179993,130.279999,129.800003,130.130005,100.284981,42133600
8/22/2006,129.990005,130.520004,129.679993,130.119995,100.277252,60839900
8/23/2006,130.179993,130.440002,129.190002,129.759995,99.999817,66592100
8/24/2006,129.990005,130.100006,129.399994,129.649994,99.915024,57983000
8/25/2006,129.639999,130.25,129.550003,129.809998,100.038376,41756000
8/28/2006,129.649994,130.820007,129.639999,130.429993,100.516182,52681500
8/29/2006,130.490005,130.830002,129.809998,130.580002,100.631767,61817800
8/30/2006,130.869995,131.039993,130.550003,130.660004,100.693413,50052200
8/31/2006,130.850006,130.990005,130.580002,130.639999,100.677994,37510300
9/1/2006,131.139999,131.580002,130.839996,131.419998,101.279121,48794500
9/5/2006,131.509995,131.850006,131.199997,131.669998,101.471786,52348300
9/6/2006,131.110001,131.160004,130.330002,130.509995,100.577789,53795600
9/7/2006,130.059998,130.570007,129.350006,129.910004,100.115448,86269400
9/8/2006,130.080002,130.460007,129.830002,130.279999,100.400581,45096300
9/11/2006,129.860001,130.690002,129.479996,130.410004,100.500748,68496600
9/12/2006,130.559998,131.839996,130.369995,131.690002,101.487183,69875600
9/13/2006,131.639999,132.449997,131.520004,132.220001,101.89566,62898400
9/14/2006,131.960007,132.240005,131.75,132.229996,101.903328,57805400
9/15/2006,132.309998,132.389999,131.679993,131.960007,102.142532,76703100
9/18/2006,131.789993,132.389999,131.649994,132.139999,102.281876,64154100
9/19/2006,132.119995,132.130005,131.070007,131.809998,102.026398,92089100
9/20/2006,132.25,132.770004,132.059998,132.509995,102.568245,75204100
9/21/2006,132.610001,132.75,131.419998,131.869995,102.072861,88932500
9/22/2006,131.669998,131.679993,131,131.470001,101.76326,65966800
9/25/2006,131.729996,132.850006,131.050003,132.479996,102.545029,92299100
9/26/2006,132.5,133.600006,132.399994,133.580002,103.396469,73962700
